id;start_date;end_date;language
1;2020-02-23T21:27:00;2020-02-23T19:17:15;SPANISH
2;2020-02-23T02:17:11;2020-02-23T21:21:36;SPANISH
3;2020-02-23T17:12:30;2020-02-23T03:46:39;FRENCH
4;2020-02-23T08:30:01;2020-02-23T20:01:27;FRENCH
5;2020-02-23T18:00:19;2020-02-23T22:47:18;FRENCH
6;2020-02-23T11:52:40;2020-02-24T00:00:54;FRENCH
7;2020-02-23T13:38:00;2020-02-23T07:28:51;FRENCH
8;2020-02-23T12:34:13;2020-02-23T22:50:21;SPANISH
9;2020-02-23T11:15:22;2020-02-23T07:56:45;SPANISH
10;2020-02-23T19:27:26;2020-02-23T06:01:56;SPANISH
